english,russian
ozone hole,озоновая дыра
ozone layer,озоновый слой
poison,яд
pollution,загрязнение
power station,электростанция
rainforest,тропический лес
sea level,уровень моря
toxic waste,токсичные отходы
wind energy,ветровая энергия
to menace,угрожать
to harm,вредить
to leak,протекать
to protect,защищать
to pollute,загрязнять
to contaminate,заражать
to disappear,исчезать
to recycle,перерабатывать
to destroy,разрушать
climate protection,защита климата
sustainability,устойчивость
carbon cycle,углеродный цикл
renewable energy,возобновляемая энергия
deforestation,вырубка лесов
air pollution,загрязнение воздуха
methane,метан
nature reserve,заповедник
extinction of species,вымирание видов
energy efficiency,энергетическая эффективность
solar energy,солнечная энергия
hydropower,гидроэнергия
environmental pollution,загрязнение окружающей среды
emission,выброс
forest dieback,усыхание лесов
environmental protection,защита окружающей среды
recycling,переработка
biogas,биогаз
wastewater,сточные воды
biodiesel,биотопливо
Renewable Energy Act,закон о возобновляемой энергии
greenhouse gas emissions,выбросы парниковых газов
climate neutrality,климатическая нейтральность
updates,обновления
media accreditation,аккредитация СМИ
sessions,сессии
online registration system (ORS),система онлайн-регистрации (ORS)
official channel,официальный канал
cover,освещать
secretariat,секретариат
accreditation materials,аккредитационные материалы
processed,обработаны
documents,документы
press ID,пресс-удостоверение
letter of assignment,письмо о назначении
requirements,требования
applicant details,данные заявителя
consistent,последовательный
up-to-date,обновлённый
admitted,допущены
monitor,отслеживать
confirmation,подтверждение
Registration Acknowledgement Form,форма подтверждения регистрации
inquiries,запросы
valid,действительный
letterhead,бланк
bona fide,добросовестный
UNFCCC Press Office,пресс-служба РКИК ООН
official UN language,официальный язык ООН
duration,продолжительность
functional title,должностное звание
authorized person,уполномоченное лицо
Publisher,издатель
Editor-in-chief,главный редактор
unsigned,без подписи

